GeneName	GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DKC1	ENSG00000130826	10179.11966	-0.853496898	0.114904105	-7.427906038	1.10E-13	3.93E-12
NFKBIB	ENSG00000104825	1506.742101	-0.85228918	0.149917186	-5.685066549	1.31E-08	1.90E-07
RNF19B	ENSG00000116514	967.2831121	-0.850965126	0.127600899	-6.668958719	2.58E-11	6.10E-10
INPP5B	ENSG00000204084	1428.997316	-0.850537536	0.114508936	-7.427695733	1.11E-13	3.93E-12
HIST1H2BH	ENSG00000275713	71.73455389	-0.850514842	0.337542555	-2.519726268	0.011744613	0.0346475
SHMT2	ENSG00000182199	14447.98444	-0.84934643	0.084265204	-10.07944435	6.81E-24	7.78E-22
RMI1	ENSG00000178966	1212.434264	-0.846921173	0.118518953	-7.145871219	8.94E-13	2.77E-11
ESPL1	ENSG00000135476	2105.72994	-0.846345357	0.142667898	-5.932276058	2.99E-09	4.91E-08
HMMR	ENSG00000072571	2987.406099	-0.845019728	0.119078139	-7.09634647	1.28E-12	3.87E-11
NFKBIL1	ENSG00000204498	1123.071208	-0.844962577	0.135213611	-6.24909409	4.13E-10	7.94E-09
HJURP	ENSG00000123485	1785.102145	-0.84453033	0.11487381	-7.351809173	1.96E-13	6.71E-12
SEPSECS	ENSG00000109618	946.9388692	-0.843698514	0.119104346	-7.083692126	1.40E-12	4.21E-11
LRIG3	ENSG00000139263	329.5874971	-0.842228086	0.17951168	-4.691773179	2.71E-06	2.34E-05
LETM2	ENSG00000165046	437.70411	-0.842152052	0.185257476	-4.545846512	5.47E-06	4.40E-05
DTL	ENSG00000143476	2966.024358	-0.840791306	0.163486426	-5.142881443	2.71E-07	2.96E-06
RNF169	ENSG00000166439	1243.859881	-0.840583523	0.114395032	-7.348077145	2.01E-13	6.88E-12
WDR43	ENSG00000163811	8040.213392	-0.840359671	0.096571103	-8.701978547	3.26E-18	2.19E-16
PTN	ENSG00000105894	230.0018514	-0.840061568	0.223247772	-3.762911314	0.000167947	0.000886269
POC5	ENSG00000152359	594.5352433	-0.839672825	0.140458407	-5.978088754	2.26E-09	3.77E-08
FOXF2	ENSG00000137273	1543.042367	-0.838824599	0.118359751	-7.08707641	1.37E-12	4.12E-11
SNHG7	ENSG00000233016	2707.220163	-0.838228812	0.133490578	-6.279310675	3.40E-10	6.66E-09
CEP72	ENSG00000112877	1427.291128	-0.83779005	0.108564185	-7.717002191	1.19E-14	4.73E-13
TMEM106C	ENSG00000134291	2383.879463	-0.8377416	0.162678913	-5.149663137	2.61E-07	2.87E-06
CRNDE	ENSG00000245694	445.9035214	-0.837333502	0.17861168	-4.688010908	2.76E-06	2.38E-05
LIPE	ENSG00000079435	93.03613609	-0.836976673	0.311454248	-2.687318213	0.00720283	0.023013811
ZNF280C	ENSG00000056277	776.0933591	-0.836053729	0.134435794	-6.218981582	5.00E-10	9.46E-09
CAMK4	ENSG00000152495	271.8134459	-0.835369553	0.257118682	-3.248964822	0.001158258	0.004834942
LIPT1	ENSG00000144182	150.2530883	-0.835171579	0.255517202	-3.268553247	0.001080988	0.004540443
ZBTB21	ENSG00000173276	3167.486768	-0.834660605	0.102957207	-8.106869119	5.19E-16	2.55E-14
AL050341.2	ENSG00000259943	204.2285716	-0.834229175	0.213305104	-3.91096678	9.19E-05	0.000526592
GRB10	ENSG00000106070	8478.339467	-0.83415566	0.080359949	-10.38024129	3.05E-25	4.02E-23
TBC1D31	ENSG00000156787	854.5714943	-0.832270386	0.125653508	-6.623534841	3.51E-11	8.16E-10
SLC16A6	ENSG00000108932	185.7460881	-0.831540994	0.221212039	-3.759022331	0.000170579	0.00089813
DCLRE1C	ENSG00000152457	591.543025	-0.831264715	0.133629169	-6.220683133	4.95E-10	9.37E-09
PPCDC	ENSG00000138621	749.0236454	-0.831221466	0.146553358	-5.671800898	1.41E-08	2.04E-07
LENG1	ENSG00000105617	548.33648	-0.831013118	0.182193499	-4.5611568	5.09E-06	4.11E-05
METTL4	ENSG00000101574	762.2446557	-0.830125972	0.133816224	-6.203477758	5.52E-10	1.03E-08
PUS1	ENSG00000177192	3403.487476	-0.829675462	0.102523901	-8.09250772	5.84E-16	2.85E-14
LYAR	ENSG00000145220	2841.767123	-0.829481209	0.105753184	-7.843557744	4.38E-15	1.85E-13
SBDSP1	ENSG00000225648	1130.945626	-0.829370173	0.125494138	-6.608835966	3.87E-11	8.93E-10
USP36	ENSG00000055483	6217.88263	-0.829326107	0.109744001	-7.556915211	4.13E-14	1.53E-12
BNIP1	ENSG00000113734	640.3904514	-0.829204194	0.134199431	-6.178895003	6.46E-10	1.19E-08
KIF18B	ENSG00000186185	2814.094558	-0.828218553	0.160128722	-5.172204843	2.31E-07	2.58E-06
GOT1	ENSG00000120053	2621.625717	-0.827938196	0.10421098	-7.944826855	1.94E-15	8.68E-14
MTFP1	ENSG00000242114	595.4768135	-0.827242557	0.153955781	-5.373247781	7.73E-08	9.52E-07
RNF138	ENSG00000134758	2493.926731	-0.826181622	0.105500095	-7.831098367	4.84E-15	2.03E-13
MYO5B	ENSG00000167306	69.68023562	-0.825924747	0.339665069	-2.431585765	0.015032889	0.042694833
COX19	ENSG00000240230	1527.50269	-0.824789121	0.120955623	-6.818939857	9.17E-12	2.35E-10
SH3BP2	ENSG00000087266	1706.246198	-0.824553377	0.147730073	-5.581486288	2.38E-08	3.29E-07
ITGA2	ENSG00000164171	6025.648329	-0.824132493	0.294962431	-2.794025296	0.005205641	0.017439289
CCDC86	ENSG00000110104	4613.300656	-0.823847997	0.100479132	-8.199194998	2.42E-16	1.25E-14
DDX12P	ENSG00000214826	262.7439712	-0.823316605	0.220014777	-3.742096852	0.000182491	0.000952679
TXLNG	ENSG00000086712	4294.391078	-0.822681817	0.095137779	-8.647267385	5.27E-18	3.47E-16
TADA2A	ENSG00000276234	965.0132741	-0.822360834	0.119249657	-6.896127469	5.34E-12	1.43E-10
SMG1P3	ENSG00000180747	340.4858784	-0.822314152	0.189586008	-4.337420036	1.44E-05	0.00010339
EMP2	ENSG00000213853	148.9328397	-0.82103274	0.274835098	-2.987364957	0.002813936	0.010314004
EIF1	ENSG00000173812	29263.58081	-0.820506037	0.128026026	-6.408900332	1.47E-10	3.09E-09
HACD3	ENSG00000074696	1557.481699	-0.819958408	0.117989899	-6.94939494	3.67E-12	1.01E-10
CIT	ENSG00000122966	4083.893284	-0.818558077	0.163015641	-5.02134686	5.13E-07	5.27E-06
TMEM44-AS1	ENSG00000231770	150.9539285	-0.817214722	0.239310134	-3.41487721	0.000638108	0.002865308
USP2-AS1	ENSG00000245248	204.4724763	-0.816493457	0.220776827	-3.69827517	0.000217069	0.001114094
ASAH2B	ENSG00000204147	328.5373065	-0.81646973	0.178644261	-4.570366416	4.87E-06	3.96E-05
ZNF674-AS1	ENSG00000230844	312.2106725	-0.816304545	0.181811815	-4.489832228	7.13E-06	5.54E-05
AL161911.1	ENSG00000214654	156.6348527	-0.815646456	0.225448061	-3.617890755	0.000297014	0.001467206
AC022211.2	ENSG00000263843	314.5126777	-0.815337134	0.170614995	-4.778812872	1.76E-06	1.60E-05
HMGB1P5	ENSG00000132967	770.6321744	-0.81522539	0.132686599	-6.143991895	8.05E-10	1.46E-08
AC012676.1	ENSG00000262712	91.28440406	-0.814804121	0.301359472	-2.703761443	0.006855949	0.022027766
KCMF1	ENSG00000176407	6686.6371	-0.812019186	0.106176293	-7.647838881	2.04E-14	7.96E-13
ING3	ENSG00000071243	714.8688255	-0.811159711	0.127155553	-6.379270854	1.78E-10	3.67E-09
ZNF501	ENSG00000186446	113.9009521	-0.81086082	0.267396864	-3.032424566	0.002425977	0.009067367
PRC1	ENSG00000198901	9650.175692	-0.810555418	0.125969958	-6.434513662	1.24E-10	2.66E-09
RAD21	ENSG00000164754	12414.37969	-0.808076513	0.102409512	-7.890639233	3.01E-15	1.30E-13
RPGR	ENSG00000156313	2396.940842	-0.807865238	0.13285729	-6.080699341	1.20E-09	2.11E-08
ILF3-AS1	ENSG00000267100	1272.465622	-0.807535578	0.110127815	-7.332712254	2.26E-13	7.62E-12
INO80	ENSG00000128908	3935.464906	-0.806844383	0.092694953	-8.704296794	3.20E-18	2.16E-16
CDCA7	ENSG00000144354	1733.858667	-0.806267242	0.182942404	-4.40721902	1.05E-05	7.81E-05
DUS4L	ENSG00000105865	603.2376622	-0.805005304	0.147852202	-5.444662278	5.19E-08	6.62E-07
GMNN	ENSG00000112312	1717.416273	-0.803847919	0.136359868	-5.895047654	3.75E-09	6.04E-08
MIR17HG	ENSG00000215417	203.012049	-0.803793598	0.221801511	-3.623932015	0.000290158	0.001436097
KIF22	ENSG00000079616	4218.774662	-0.803335124	0.138800387	-5.787700904	7.14E-09	1.09E-07
TIMM10	ENSG00000134809	1304.539872	-0.802643399	0.106575918	-7.531189178	5.03E-14	1.85E-12
ATP6V1E2	ENSG00000250565	341.7909348	-0.801104516	0.163807949	-4.890510646	1.01E-06	9.72E-06
SP3	ENSG00000172845	4450.46621	-0.800815845	0.08442557	-9.485465676	2.41E-21	2.23E-19
VEZF1	ENSG00000136451	4143.606765	-0.800094844	0.088732117	-9.016970111	1.93E-19	1.53E-17
TMEM154	ENSG00000170006	807.3978863	-0.799837807	0.128857212	-6.207163675	5.39E-10	1.01E-08
AC004812.2	ENSG00000277283	225.9926408	-0.799580718	0.197179772	-4.055084909	5.01E-05	0.000311168
XPOT	ENSG00000184575	19004.3435	-0.798484377	0.120872494	-6.606005623	3.95E-11	9.09E-10
HNRNPA1L2	ENSG00000139675	584.9519201	-0.797510263	0.141833997	-5.622842752	1.88E-08	2.65E-07
SDE2	ENSG00000143751	1547.311259	-0.796688439	0.117745769	-6.766174643	1.32E-11	3.31E-10
KIF14	ENSG00000118193	2717.991277	-0.79658711	0.108566777	-7.337300876	2.18E-13	7.38E-12
HES6	ENSG00000144485	842.7363817	-0.796151212	0.174975662	-4.550068293	5.36E-06	4.32E-05
AC068338.2	ENSG00000260274	74.77247767	-0.795326053	0.33369441	-2.383396394	0.017153712	0.047904015
AP002360.2	ENSG00000255135	207.3169984	-0.795258137	0.212139242	-3.748755441	0.000177714	0.000931686
TIFA	ENSG00000145365	736.0047512	-0.794195088	0.124252355	-6.391791009	1.64E-10	3.41E-09
UBE2C	ENSG00000175063	2268.219496	-0.794191217	0.125723303	-6.316977041	2.67E-10	5.27E-09
DLC1	ENSG00000164741	3989.401302	-0.793956058	0.119279113	-6.656287394	2.81E-11	6.62E-10
DIS3L	ENSG00000166938	527.8570577	-0.793573531	0.166776064	-4.758317914	1.95E-06	1.76E-05
NUAK2	ENSG00000163545	278.8040226	-0.793517743	0.247530111	-3.205742289	0.001347146	0.005512373
SMC4	ENSG00000113810	16181.7716	-0.793233559	0.092539648	-8.571823813	1.02E-17	6.33E-16
DPH2	ENSG00000132768	2109.528065	-0.792263434	0.104792134	-7.560333075	4.02E-14	1.50E-12
ZNF787	ENSG00000142409	2661.136429	-0.79198885	0.123360523	-6.42011587	1.36E-10	2.89E-09
MBOAT1	ENSG00000172197	194.3188804	-0.791287904	0.250041346	-3.164628234	0.001552812	0.006216449
KLF5	ENSG00000102554	3250.008795	-0.791227177	0.110163205	-7.182318064	6.85E-13	2.17E-11
RIPK2	ENSG00000104312	1378.22616	-0.790700597	0.145492636	-5.434643416	5.49E-08	6.96E-07
STAG1	ENSG00000118007	3518.309682	-0.790438379	0.096043775	-8.229980352	1.87E-16	9.90E-15
SARS	ENSG00000031698	11350.80601	-0.790196191	0.09677695	-8.165128109	3.21E-16	1.63E-14
HAUS4	ENSG00000092036	1018.972864	-0.789911473	0.118714403	-6.653880666	2.85E-11	6.71E-10
DTYMK	ENSG00000168393	3708.280557	-0.789827811	0.122547746	-6.445061919	1.16E-10	2.50E-09
CPSF4	ENSG00000160917	2532.890931	-0.789584417	0.091863335	-8.595207412	8.31E-18	5.21E-16
DLGAP5	ENSG00000126787	2613.011274	-0.789337464	0.169163194	-4.666130048	3.07E-06	2.61E-05
MFSD2A	ENSG00000168389	387.4616783	-0.78913478	0.184867804	-4.268643666	1.97E-05	0.000136324
JADE1	ENSG00000077684	5780.332369	-0.787783751	0.142757708	-5.518327256	3.42E-08	4.53E-07
SECISBP2	ENSG00000187742	1890.969011	-0.787518067	0.106164412	-7.417910107	1.19E-13	4.21E-12
IRF2BP2	ENSG00000168264	6065.136553	-0.787064584	0.109720381	-7.173367231	7.32E-13	2.31E-11
TRDMT1	ENSG00000107614	770.3331364	-0.787006507	0.143592083	-5.48084889	4.23E-08	5.50E-07
LEF1	ENSG00000138795	513.5023825	-0.786064509	0.183449915	-4.284899817	1.83E-05	0.000127811
HSPA9	ENSG00000113013	29219.58274	-0.785895025	0.13154936	-5.974145571	2.31E-09	3.86E-08
SNHG8	ENSG00000269893	5033.617619	-0.785589789	0.152567685	-5.149123083	2.62E-07	2.87E-06
TIGD2	ENSG00000180346	872.0556571	-0.78487631	0.131077903	-5.987861361	2.13E-09	3.56E-08
ORC5	ENSG00000164815	1839.347656	-0.784426019	0.098195552	-7.988406817	1.37E-15	6.27E-14
OXNAD1	ENSG00000154814	1027.846494	-0.784386338	0.120451276	-6.512063313	7.41E-11	1.66E-09
CTU2	ENSG00000174177	1696.137586	-0.784155276	0.111093056	-7.058544489	1.68E-12	4.94E-11
UBA6-AS1	ENSG00000248049	725.7349591	-0.783685621	0.142254367	-5.50904438	3.61E-08	4.76E-07
CDC45	ENSG00000093009	2526.293168	-0.782919773	0.150657091	-5.196700442	2.03E-07	2.28E-06
PIM3	ENSG00000198355	2781.578083	-0.782780719	0.10258344	-7.630673328	2.34E-14	8.94E-13
ZNF619	ENSG00000177873	295.5985259	-0.781397591	0.183068049	-4.268344991	1.97E-05	0.000136445
KTN1-AS1	ENSG00000186615	222.3971832	-0.780846589	0.23916828	-3.264841761	0.001095252	0.004595388
PSMG3	ENSG00000157778	2515.645846	-0.780789807	0.110007492	-7.097605736	1.27E-12	3.85E-11
TLK2P1	ENSG00000226049	170.0058492	-0.780519577	0.272230154	-2.867131233	0.004142112	0.014407467
AC010618.3	ENSG00000269439	125.7543485	-0.779857426	0.28181872	-2.767230741	0.005653473	0.018692482
PRR3	ENSG00000204576	1562.283313	-0.77936269	0.109499239	-7.117516945	1.10E-12	3.38E-11
FANCD2	ENSG00000144554	3523.195591	-0.778515069	0.159828731	-4.870933185	1.11E-06	1.06E-05
AC097359.2	ENSG00000270194	107.6612554	-0.778357168	0.278116291	-2.798675211	0.005131272	0.017264581
EEF2KMT	ENSG00000118894	1413.524072	-0.778251417	0.110510452	-7.04233313	1.89E-12	5.44E-11
CENPW	ENSG00000203760	727.8479002	-0.777994441	0.145648163	-5.341601461	9.21E-08	1.12E-06
SLC25A19	ENSG00000125454	1005.660402	-0.777662033	0.131511401	-5.913267042	3.35E-09	5.46E-08
ZEB1-AS1	ENSG00000237036	423.915174	-0.776495982	0.164936197	-4.707856726	2.50E-06	2.19E-05
MED30	ENSG00000164758	487.593945	-0.775864873	0.162846024	-4.764407849	1.89E-06	1.71E-05
TRAIP	ENSG00000183763	565.35721	-0.775762378	0.14146437	-5.483800475	4.16E-08	5.42E-07
AL133216.2	ENSG00000276805	89.20984406	-0.774894981	0.296905532	-2.609904151	0.009056759	0.027777995
PFAS	ENSG00000178921	4506.85514	-0.773387965	0.113410416	-6.819373304	9.14E-12	2.34E-10
BARD1	ENSG00000138376	1093.170861	-0.773233723	0.152348855	-5.075415401	3.87E-07	4.12E-06
SNHG10	ENSG00000247092	279.9040948	-0.772919713	0.201548547	-3.834905908	0.000125612	0.000692249
PPP4R3A	ENSG00000100796	4271.761019	-0.772802923	0.095366164	-8.103533691	5.34E-16	2.61E-14
BORA	ENSG00000136122	825.7829597	-0.771463776	0.139440415	-5.532569409	3.16E-08	4.21E-07
CHCHD4	ENSG00000163528	1270.456865	-0.770626879	0.109590764	-7.031859727	2.04E-12	5.80E-11
SCLT1	ENSG00000151466	1233.804578	-0.770160287	0.123371058	-6.242633417	4.30E-10	8.25E-09
PRR11	ENSG00000068489	4370.888022	-0.769091087	0.107206008	-7.173955078	7.29E-13	2.30E-11
TOE1	ENSG00000132773	985.7460202	-0.768983435	0.137597057	-5.588661923	2.29E-08	3.17E-07
LONRF1	ENSG00000154359	1381.700104	-0.768750254	0.108715095	-7.071237446	1.54E-12	4.55E-11
GTPBP10	ENSG00000105793	1569.912187	-0.768176338	0.106596874	-7.206368336	5.75E-13	1.84E-11
MBD1	ENSG00000141644	4351.559253	-0.766656124	0.114829155	-6.676493649	2.45E-11	5.82E-10
RBM14	ENSG00000239306	3372.18651	-0.765544448	0.144995663	-5.279774793	1.29E-07	1.52E-06
NCAPH2	ENSG00000025770	2479.461517	-0.765431294	0.125262569	-6.110614709	9.92E-10	1.77E-08
WDR62	ENSG00000075702	1688.731828	-0.765188952	0.142490967	-5.37008745	7.87E-08	9.67E-07
FGF2	ENSG00000138685	7338.172075	-0.764715456	0.172988586	-4.420612208	9.84E-06	7.38E-05
SCMH1	ENSG00000010803	2711.460567	-0.764702454	0.113866998	-6.715751441	1.87E-11	4.54E-10
ASPHD2	ENSG00000128203	627.1131618	-0.764671765	0.133499486	-5.727900445	1.02E-08	1.51E-07
TRAM2-AS1	ENSG00000225791	247.1070437	-0.763634783	0.186983461	-4.083969675	4.43E-05	0.000278673
RFC4	ENSG00000163918	2030.248685	-0.763451181	0.151810493	-5.02897503	4.93E-07	5.10E-06
AC127502.1	ENSG00000215302	128.4311906	-0.763429725	0.262546391	-2.907789828	0.003639929	0.012903315
FOXD2-AS1	ENSG00000237424	286.3048282	-0.763066426	0.232368403	-3.283864826	0.00102394	0.004338346
CCDC34	ENSG00000109881	1153.069121	-0.762800961	0.129404033	-5.894723218	3.75E-09	6.04E-08
EIF5	ENSG00000100664	22188.34498	-0.762601358	0.098537571	-7.73919383	1.00E-14	4.03E-13
TIGD1	ENSG00000221944	329.7001827	-0.761414183	0.18956283	-4.016685042	5.90E-05	0.00035761
NOP2	ENSG00000111641	5607.439002	-0.760787871	0.091342483	-8.328959786	8.16E-17	4.53E-15
NAMPTP1	ENSG00000229644	654.5968702	-0.760536813	0.153649375	-4.94982041	7.43E-07	7.40E-06
SNHG3	ENSG00000242125	3869.083074	-0.7600827	0.110122674	-6.902145321	5.12E-12	1.38E-10
RANBP1	ENSG00000099901	8919.786777	-0.759442567	0.095834618	-7.92451182	2.29E-15	1.00E-13
PAXX	ENSG00000148362	1932.020968	-0.758985277	0.103429283	-7.338204968	2.16E-13	7.35E-12
CEP57L1	ENSG00000183137	929.3609964	-0.757391818	0.127405249	-5.944745796	2.77E-09	4.57E-08
INO80D	ENSG00000114933	1226.657154	-0.757323626	0.114817824	-6.595871622	4.23E-11	9.70E-10
POLR3C	ENSG00000186141	1991.852936	-0.756563	0.15481387	-4.886920014	1.02E-06	9.87E-06
SH3TC1	ENSG00000125089	3359.472926	-0.756387312	0.089244469	-8.47545313	2.34E-17	1.37E-15
ANKMY1	ENSG00000144504	884.7285207	-0.756052033	0.134310789	-5.62912362	1.81E-08	2.56E-07
CD3EAP	ENSG00000117877	3129.650769	-0.755977311	0.110357402	-6.850263763	7.37E-12	1.93E-10
CU639417.1	ENSG00000275993	274.7763322	-0.755198811	0.183025165	-4.126202048	3.69E-05	0.000237476
NSUN5	ENSG00000130305	2844.747903	-0.754604549	0.101970435	-7.400228759	1.36E-13	4.77E-12
ZFAND4	ENSG00000172671	225.2219096	-0.754486357	0.212838633	-3.544875031	0.000392799	0.001872544
FAM86EP	ENSG00000251669	245.6209802	-0.754426554	0.198726742	-3.796301115	0.000146871	0.000789254
OTUD1	ENSG00000165312	217.7541641	-0.754280334	0.268526779	-2.808957594	0.004970219	0.016821032
RCC1	ENSG00000180198	7828.566003	-0.752248334	0.086312078	-8.715446931	2.90E-18	1.99E-16
DUSP6	ENSG00000139318	429.194297	-0.752197517	0.174822151	-4.302644219	1.69E-05	0.00011933
METTL1	ENSG00000037897	858.6129509	-0.751727782	0.143268975	-5.246968389	1.55E-07	1.79E-06
HSPBAP1	ENSG00000169087	435.4836524	-0.751174787	0.162802289	-4.614030869	3.95E-06	3.29E-05
MRTO4	ENSG00000053372	5573.353438	-0.750657435	0.086535839	-8.674526576	4.15E-18	2.77E-16
TARS	ENSG00000113407	22010.53211	-0.750203995	0.109840898	-6.829914993	8.50E-12	2.19E-10
ANP32E	ENSG00000143401	6308.764669	-0.749385136	0.09617215	-7.792122099	6.59E-15	2.72E-13
CSRNP1	ENSG00000144655	1493.571339	-0.748653044	0.153671004	-4.871791202	1.11E-06	1.05E-05
ELP5	ENSG00000170291	1338.513193	-0.748468705	0.130135726	-5.751446808	8.85E-09	1.33E-07
DESI2	ENSG00000121644	4527.83792	-0.747725406	0.087686292	-8.527278231	1.50E-17	9.03E-16
ITFG2	ENSG00000111203	898.6235477	-0.747154887	0.117403132	-6.364011559	1.97E-10	4.03E-09
PPAN	ENSG00000130810	1132.758957	-0.746529426	0.11854609	-6.297377028	3.03E-10	5.96E-09
ADPRM	ENSG00000170222	190.8730201	-0.745994782	0.231347118	-3.22456916	0.001261624	0.005209399
CENPP	ENSG00000188312	555.0191351	-0.745634602	0.163911696	-4.549001812	5.39E-06	4.34E-05
LINC00526	ENSG00000264575	83.25405333	-0.745442714	0.306627699	-2.431100375	0.015053044	0.042744263
KANSL2	ENSG00000139620	1272.306724	-0.744034013	0.10915992	-6.815999972	9.36E-12	2.39E-10
PPM1D	ENSG00000170836	747.6441522	-0.743846493	0.135083006	-5.506588227	3.66E-08	4.81E-07
NFE2L2	ENSG00000116044	7650.899661	-0.743736949	0.087469085	-8.502855015	1.85E-17	1.10E-15
TXNL4B	ENSG00000140830	1291.502567	-0.742934569	0.120766435	-6.151829928	7.66E-10	1.39E-08
ATXN2L	ENSG00000168488	13278.69322	-0.74277086	0.082394228	-9.014840966	1.97E-19	1.55E-17
DUSP28	ENSG00000188542	193.9527081	-0.741435517	0.22009674	-3.36868014	0.00075529	0.003318622
SUPV3L1	ENSG00000156502	2264.295828	-0.741046399	0.101944928	-7.269085524	3.62E-13	1.19E-11
TOP2A	ENSG00000131747	20734.11623	-0.741029213	0.110836077	-6.685812372	2.30E-11	5.47E-10
DEPDC1	ENSG00000024526	3912.071413	-0.740510151	0.120115243	-6.164997346	7.05E-10	1.30E-08
NKX2-5	ENSG00000183072	2095.12998	-0.740272155	0.118602361	-6.241630831	4.33E-10	8.29E-09
SMC3	ENSG00000108055	6452.656015	-0.740079676	0.088310272	-8.38044837	5.27E-17	2.96E-15
BLM	ENSG00000197299	1150.02259	-0.740026998	0.15750193	-4.698526552	2.62E-06	2.28E-05
SMG1P2	ENSG00000205534	96.60710792	-0.739748893	0.28999407	-2.550910408	0.010744194	0.032068734
TRIM39	ENSG00000204599	486.4201275	-0.739614055	0.172102106	-4.297530529	1.73E-05	0.000121839
SPRY2	ENSG00000136158	2269.54528	-0.737922773	0.13027116	-5.66451373	1.47E-08	2.11E-07
SIM2	ENSG00000159263	2445.232143	-0.73748156	0.104529603	-7.05524122	1.72E-12	5.03E-11
FBXO30	ENSG00000118496	3648.828064	-0.736403706	0.108947532	-6.759250895	1.39E-11	3.47E-10
NDUFAF4	ENSG00000123545	1161.734701	-0.736008306	0.115355372	-6.380355691	1.77E-10	3.66E-09
RUNX2	ENSG00000124813	2230.032814	-0.735466933	0.149308655	-4.925815804	8.40E-07	8.25E-06
EIF2S2P4	ENSG00000128692	381.5932971	-0.734985469	0.179636418	-4.091517061	4.29E-05	0.000270412
GCFC2	ENSG00000005436	883.010784	-0.734341067	0.136236897	-5.390177573	7.04E-08	8.72E-07
GFOD1	ENSG00000145990	851.6422627	-0.734324239	0.156899996	-4.680205594	2.87E-06	2.46E-05
PALB2	ENSG00000083093	1276.389676	-0.733887774	0.113765971	-6.450854931	1.11E-10	2.42E-09
ENTPD1-AS1	ENSG00000226688	253.4836472	-0.733669301	0.189810147	-3.865279657	0.000110962	0.00062098
CENPL	ENSG00000120334	938.3689176	-0.733617668	0.117665825	-6.234755633	4.52E-10	8.63E-09
LINC00909	ENSG00000264247	587.9538145	-0.733432115	0.140139485	-5.23358647	1.66E-07	1.91E-06
ZNF473	ENSG00000142528	744.6549083	-0.733376381	0.127172823	-5.766769676	8.08E-09	1.22E-07
GRK6	ENSG00000198055	3014.642889	-0.733354529	0.113011922	-6.489178474	8.63E-11	1.91E-09
ZNF22	ENSG00000165512	1449.277759	-0.733234621	0.108639027	-6.749274577	1.49E-11	3.68E-10
GAR1	ENSG00000109534	2026.904355	-0.732909703	0.135260763	-5.418494522	6.01E-08	7.54E-07
MOCOS	ENSG00000075643	1863.072255	-0.732824867	0.138198153	-5.302711007	1.14E-07	1.36E-06
DEK	ENSG00000124795	11537.9346	-0.732062314	0.093337449	-7.843178952	4.39E-15	1.86E-13
HCFC1R1	ENSG00000103145	986.430708	-0.731380727	0.137216971	-5.330104023	9.82E-08	1.18E-06
CIP2A	ENSG00000163507	2216.942341	-0.731102482	0.124274803	-5.882950245	4.03E-09	6.44E-08
MRPL2	ENSG00000112651	1745.776399	-0.731083018	0.121365142	-6.023830265	1.70E-09	2.92E-08
RNASEH2A	ENSG00000104889	2017.978537	-0.730630305	0.145376632	-5.025775412	5.01E-07	5.17E-06
NR4A2	ENSG00000153234	140.6036947	-0.730472409	0.270089286	-2.704559	0.006839512	0.021984046
TGDS	ENSG00000088451	658.036518	-0.729977146	0.149828146	-4.872096248	1.10E-06	1.05E-05
CBS	ENSG00000160200	420.5620139	-0.729607588	0.247443903	-2.948577758	0.003192398	0.011527198
RFX3	ENSG00000080298	244.7427559	-0.729412074	0.202434967	-3.603192103	0.000314333	0.001541511
ZNHIT2	ENSG00000174276	755.7500558	-0.728172832	0.123864307	-5.878794682	4.13E-09	6.59E-08
PXN-AS1	ENSG00000255857	216.7488012	-0.728021143	0.224185978	-3.247398211	0.001164653	0.004859027
RAD54B	ENSG00000197275	210.7305809	-0.727457526	0.211016093	-3.447403062	0.000566003	0.002580127
GK	ENSG00000198814	133.4857852	-0.727060571	0.25546212	-2.84606019	0.004426383	0.015225855
USP37	ENSG00000135913	1119.586212	-0.726337504	0.108041972	-6.722734586	1.78E-11	4.35E-10
UBE2MP1	ENSG00000261461	104.6477276	-0.72633497	0.294759087	-2.464164816	0.013733295	0.039560543
NOC4L	ENSG00000184967	1881.699517	-0.72633338	0.096464702	-7.52952491	5.09E-14	1.87E-12
AC023632.6	ENSG00000280123	132.3296134	-0.72631527	0.263308282	-2.758421672	0.005808122	0.019139955
IRF7	ENSG00000185507	175.3482753	-0.725846263	0.222016577	-3.269333635	0.001078011	0.004532985
RBBP8	ENSG00000101773	4176.252844	-0.725840888	0.091196487	-7.959088265	1.73E-15	7.83E-14
FAM72A	ENSG00000196550	156.7067641	-0.725787428	0.240609591	-3.016452603	0.002557512	0.009492786
KLF3	ENSG00000109787	2272.714313	-0.725571498	0.105184773	-6.898065889	5.27E-12	1.41E-10
YRDC	ENSG00000196449	1568.083186	-0.724146721	0.105213817	-6.882620026	5.88E-12	1.56E-10
SRSF7	ENSG00000115875	10196.20312	-0.723557586	0.085693243	-8.443578018	3.08E-17	1.76E-15
MAD2L1	ENSG00000164109	3191.598786	-0.722597919	0.123619048	-5.845360656	5.05E-09	7.91E-08
KIF11	ENSG00000138160	4812.08218	-0.720841003	0.128863867	-5.593817879	2.22E-08	3.09E-07
CCP110	ENSG00000103540	1499.398824	-0.718522791	0.102056554	-7.040437491	1.92E-12	5.49E-11
BRD4	ENSG00000141867	9259.776795	-0.718421213	0.131308716	-5.471237828	4.47E-08	5.77E-07
APOLD1	ENSG00000178878	138.0701728	-0.717663708	0.239266907	-2.999427366	0.002704876	0.009970702
