Partner,t_value,p_value
ZNF596,3.28205,0.00111727
COX6C,2.7227,0.00674681
ZNF165,-2.60164,0.00960811
DCUN1D3,-2.63325,0.00877146
LARP6,-4.12308,4.51E-05
SLAMF6,3.16158,0.00168374
KRTAP4-4,2.68557,0.00752972
SMTN,-2.97877,0.00306316
MORF4L2,-3.3055,0.00103005
ARHGAP15,3.95684,8.93E-05
PPIP5K2,3.71085,0.000234563
FMNL1,4.07439,5.52E-05
TNFRSF8,2.93281,0.00354424
SNX33,-3.41224,0.000707264
CASP3,4.50859,8.49E-06
LMNA,-4.73619,2.99E-06
RBM15B,3.80156,0.000165236
PRICKLE3,-2.76822,0.00588759
POLR1D,2.83165,0.00485509
LIF,-3.00368,0.0028281
IER5L,-2.88499,0.00411731
INHBB,-3.99881,7.53E-05
USP7,3.86748,0.000127535
SLC7A14,2.94525,0.00340766
TRIM65,4.4393,1.16E-05
MPC1,2.69204,0.00738758
CASP2,4.67539,3.97E-06
PDGFC,-3.60381,0.000351462
LOC100506679,3.12027,0.00193241
PLCD3,-3.76555,0.000190051
PTX3,-2.63629,0.00869467
PLEK,2.77754,0.00572437
LINC00632,2.68998,0.00743262
ATP11C,3.46255,0.000590399
ATXN7,3.29615,0.00106404
LRPPRC,4.11825,4.60E-05
IQCB1,4.24415,2.71E-05
YBX3,-3.46039,0.000595026
ARL4C,-3.63289,0.000315202
ACTR1A,-2.63077,0.00883475
ZNF263,3.15399,0.0017271
EMG1,-2.7906,0.00550259
ADPRHL2,-4.06315,5.79E-05
HOMER3,-3.44727,0.000623823
SYAP1,-4.41352,1.30E-05
DDC,3.27431,0.00114753
GADD45A,-2.59145,0.00989251
SERTAD3,-3.55486,0.000421486
GOLGA2,-3.38039,0.000792054
PHF21B,2.91818,0.00371133
LRRC42,-5.12797,4.49E-07
LBX1,-2.94465,0.00341412
LINC00324,2.93196,0.00355376
MRPS27,2.68356,0.00757433
TNFRSF17,3.84255,0.000140724
UBR1,3.23749,0.00130221
FSTL4,3.64735,0.000298514
PRG2,2.66418,0.00801682
HRH4,4.2888,2.23E-05
NPC1,-3.89949,0.000112318
LARP4B,2.95915,0.00326066
SSBP2,2.66054,0.00810253
TPRG1L,-2.82606,0.00493899
SLC10A2,2.97569,0.00309335
SLC10A3,-4.79716,2.24E-06
ATL3,-4.57762,6.22E-06
ITM2A,5.06063,6.28E-07
RAB5C,-4.20235,3.23E-05
ABCB10,4.18334,3.50E-05
DIMT1,3.02128,0.00267206
SHROOM2,-2.78914,0.00552699
APP,-3.31995,0.000979513
PHLDB1,-4.55249,6.97E-06
RPE,-2.98411,0.00301125
APOBR,3.14736,0.00176581
CTTNBP2NL,-3.87377,0.000124403
KIF20A,-3.79201,0.000171503
OR5P2,3.28485,0.00110652
TOMM34,-2.88254,0.00414886
PNRC1,2.9199,0.0036914
LRIG3,-2.73509,0.00650236
NMNAT3,2.62104,0.00908659
HOXC9,-2.80384,0.00528574
FGF14,3.75336,0.000199224
DOCK11,4.20779,3.16E-05
C1orf131,2.99236,0.0029328
GDA,-2.97757,0.00307488
SGMS2,-3.55722,0.000417827
NCBP2,3.36262,0.000843374
GNG3,3.00249,0.00283888
GNB2,-3.67552,0.000268351
SNU13,2.58682,0.0100243
CCDC177,3.65229,0.000293001
GNG7,2.83546,0.00479873
ERCC4,2.61018,0.00937533
STARD9,4.32149,1.94E-05
INO80D,3.74074,0.000209149
RPRD1A,4.5319,7.65E-06
H1FX,2.95192,0.00333637
SGK223,-3.87638,0.00012312
DDX58,-3.07049,0.0022769
WASL,-4.06651,5.71E-05
UBN2,4.27605,2.36E-05
GLIS2,-3.34182,0.000907362
COX18,6.02273,3.77E-09
NLRC3,3.58604,0.00037552
WLS,-2.99497,0.00290831
PTGIR,3.71734,0.000228812
C21orf33,3.10683,0.00202034
HIST1H2BG,2.62956,0.00886563
IRAK4,3.15626,0.00171401
ARHGAP29,-5.81753,1.19E-08
LOC730236,3.44829,0.000621557
TK1,-3.26385,0.00118967
TJP1,-5.08231,5.64E-07
SCRN1,-3.53416,0.000454858
SIX1,-2.6723,0.00782855
MIAT,4.73466,3.01E-06
SIM2,-3.46531,0.000584553
BEND5,3.01465,0.00272987
ANGPTL4,-2.86441,0.00438898
TCF20,3.12391,0.00190923
MLX,3.05409,0.00240214
KCTD11,-5.37119,1.30E-07
GLIS1,-2.75167,0.00618786
PLA2G6,3.04918,0.00244089
ALG10B,3.16683,0.00165436
SNAI3,3.4673,0.00058036
PPM1J,-4.37799,1.52E-05
PIP5K1B,3.4561,0.000604313
TTC5,2.80152,0.00532316
SLC35E2,3.03428,0.00256195
CLDN7,-3.05158,0.00242189
CLDN4,-2.89835,0.00394926
MRPL42,3.37827,0.000797994
TIPRL,3.50791,0.00050075
LPP,-5.6927,2.36E-08
CLUHP3,2.88108,0.00416769
LOC284454,-3.26364,0.0011905
C4orf46,5.59494,4.00E-08
FADS3,-3.66703,0.00027712
SERPINH1,-3.92671,0.000100745
GPR107,-2.81014,0.00518515
METTL14,4.07895,5.42E-05
TNKS1BP1,-4.57936,6.17E-06
NCOA5,2.59257,0.00986087
SLC39A1,-4.41108,1.31E-05
BMP2K,3.06135,0.00234591
BHLHE40,-3.08032,0.00220467
CNBD2,3.00518,0.00281444
TBCEL,2.80604,0.00525033
DHFR2,3.36685,0.000830878
ADAMTSL3,-3.02052,0.00267862
KIAA1147,3.47386,0.000566732
UBXN7,3.03564,0.00255066
LOC100268168,-3.56957,0.000399178
XCL1,2.98319,0.00302015
YAP1,-5.29786,1.90E-07
SUGP2,2.72033,0.00679443
CDK16,-3.3351,0.000928975
TRIP10,-4.91087,1.30E-06
TRIP11,-3.16888,0.00164298
PARP16,3.54978,0.000429456
MND1,2.7952,0.00542633
ZCCHC18,3.57917,0.00038522
SFT2D1,-2.58457,0.0100888
FOPNL,2.66407,0.00801935
ELAVL1,4.59484,5.75E-06
ELAVL4,3.21773,0.00139295
ELF3,-2.68617,0.00751626
ELF2,3.86871,0.00012692
VMA21,2.82575,0.00494375
KRT10,-3.35513,0.000865905
ZNF169,3.44728,0.000623815
GPR39,-4.46017,1.05E-05
AXL,-5.18928,3.30E-07
CSF2RB,4.03997,6.36E-05
DBNDD1,-2.64869,0.00838723
METRN,-3.73874,0.000210767
CLU,-3.21706,0.00139612
CLIC2,3.71985,0.000226622
CLK1,3.25087,0.00124388
FOXN2,3.71938,0.000227027
CLK2,2.85907,0.004462
HEXDC,3.76296,0.000191966
CCDC57,2.81775,0.00506611
PPP3CC,4.3783,1.51E-05
PPP6C,3.22413,0.00136294
PPP3R1,3.91142,0.000107098
SLC4A3,-2.92889,0.0035884
MYADM,-2.58427,0.0100977
LIMA1,-3.39489,0.000752323
PHLDA3,-3.00531,0.00281332
SLC25A1,-3.5805,0.000383319
SLC20A1,-3.00544,0.00281212
SYF2,2.67082,0.00786274
ZNF138,3.23642,0.00130699
C20orf194,-2.63776,0.00865763
SIN3A,3.38642,0.000775288
ISCU,2.59137,0.00989476
FBXO43,3.6471,0.000298796
VTCN1,-3.01571,0.00272057
CD151,-4.32806,1.89E-05
HOXA10,-3.04415,0.0024812
ARL4D,-2.89548,0.00398479
ARF4,-3.3013,0.0010452
XRCC5,3.10321,0.00204467
TCF3,3.54409,0.000438559
FAM78A,4.31646,1.98E-05
FAM225A,-3.11443,0.00197018
YY1AP1,3.61618,0.000335587
TCF4,3.44544,0.000627956
RPL22,3.99538,7.64E-05
ZSCAN2,3.07998,0.00220716
RBM12B,3.80739,0.000161518
ZC3H10,4.13249,4.34E-05
PLEK2,-4.00989,7.20E-05
OR8G2,2.91156,0.0037893
PORCN,-3.74711,0.000204081
OR8G1,2.70144,0.00718558
RNF148,2.65145,0.00832017
ZC3H6,3.15478,0.00172251
ZNF253,2.75503,0.00612565
FHL2,-4.6512,4.44E-06
SGK494,3.0404,0.00251163
TSPAN14,-2.85136,0.00456961
C21orf62,3.13665,0.00183003
HOXA4,-3.76812,0.000188172
ZFYVE16,-3.51029,0.000496417
STARD7,4.46046,1.05E-05
SMARCAD1,4.28842,2.24E-05
EPHB4,-4.66967,4.07E-06
EPHX1,-2.58605,0.0100463
EPS8,-3.58402,0.000378344
NKTR,2.98972,0.00295763
ARHGEF5,-3.72309,0.000223827
MYL12A,-3.33381,0.000933177
KLHDC1,2.9607,0.00324473
HOXC10,-3.15271,0.00173449
CEP128,3.27669,0.00113814
ARHGAP9,4.47043,1.01E-05
MRPL17,-3.6718,0.00027216
TAS2R38,3.53419,0.00045481
TMEM56,-3.24911,0.00125141
USP38,4.10307,4.90E-05
KCNN4,-2.5843,0.0100965
UBE2D3,3.82024,0.000153604
PDCD7,4.15844,3.89E-05
CDK5R1,2.82267,0.00499059
LOC100506718,-3.0731,0.0022575
LY6K,-3.06376,0.00232758
LEPROT,-3.37127,0.000817995
C1orf54,3.61618,0.000335588
TMEM68,2.93749,0.00349234
RALB,-2.74589,0.00629579
EGFEM1P,3.30384,0.00103601
DHRS3,-3.00959,0.00277481
CDA,-2.67306,0.00781127
PI3,-2.79453,0.0054374
DCAF8,4.31754,1.97E-05
GIGYF1,3.21861,0.00138881
PPP4R1,-4.42813,1.22E-05
RCE1,-3.37833,0.000797839
FGFBP1,-3.22156,0.0013749
HOXA-AS3,-3.74091,0.000209016
ATF2,3.01301,0.00274439
CREBBP,2.69627,0.00729612
AGTPBP1,3.0668,0.00230455
PPME1,-5.65615,2.88E-08
TBL1XR1,3.36502,0.000836265
MSS51,3.45676,0.000602867
LSR,-3.14964,0.00175241
CCAR1,2.75816,0.00606842
S100Z,2.62027,0.00910692
ST8SIA3,3.2282,0.00134415
CCDC24,-3.62683,0.000322459
SERINC2,-4.95039,1.08E-06
NXN,-3.91497,0.000105591
KLF13,4.49301,9.11E-06
KIAA0430,3.84319,0.000140365
LOC100507630,-3.32849,0.000950719
SAV1,-2.5937,0.00982904
CREB3L4,2.93121,0.00356219
CPTP,-3.07516,0.00224233
LIMD2,3.26707,0.00117653
SPAST,3.74139,0.000208628
TTLL13P,2.81597,0.00509373
PAX8,-2.99375,0.00291975
YIPF6,-3.15139,0.00174217
COQ8A,5.37789,1.26E-07
VAMP3,-4.59131,5.84E-06
DENND1C,3.46362,0.000588127
SERF2,3.56468,0.000406475
NDST3,3.10238,0.00205027
SLC25A13,-3.21612,0.00140061
DR1,-3.25555,0.00122407
TTC12,-2.86099,0.00443565
TMEM132A,-2.78442,0.0056065
EPHA6,2.91865,0.0037059
KCNAB3,4.00073,7.47E-05
HOXC13,-3.48046,0.000553337
EIF4EBP2,4.49193,9.15E-06
DAB1,3.68838,0.000255551
DACH1,3.12794,0.00188381
DAG1,-4.79232,2.30E-06
CD55,-2.7417,0.00637527
PHF6,3.53108,0.000460038
UBTF,2.88891,0.00406738
L3HYPDH,-3.55806,0.000416533
IPO9,4.08981,5.18E-05
C7orf25,-2.71982,0.00680468
SPIRE1,-3.52308,0.000473727
VASN,-3.30608,0.00102798
HAS3,-2.5953,0.00978424
PPP2CB,-2.60306,0.00956912
CLIC3,-3.64322,0.000303195
HYI,-3.75114,0.000200932
CYP2C9,2.82662,0.00493055
EEF2K,3.86895,0.000126798
UBP1,2.70535,0.00710302
HAS1,2.74472,0.00631795
SH3BP4,-4.63484,4.78E-06
HADH,4.93212,1.18E-06
GULP1,-3.64509,0.000301062
C2CD2,-2.59126,0.00989785
KIAA1429,3.63692,0.000310464
EFCAB5,2.72247,0.00675139
C1orf53,-2.84477,0.00466334
KISS1,-3.33027,0.000944815
PSORS1C1,-3.39847,0.000742815
C11orf95,2.89029,0.00404994
STRADA,2.70335,0.00714499
STAP2,-3.24261,0.00127961
PRR34,2.60126,0.00961844
RPL38,3.68545,0.000258416
3-Sep,3.32164,0.000973733
RPL35A,3.69786,0.000246489
IL17RC,-6.15087,1.81E-09
SLC27A5,2.7974,0.00539025
SLC27A4,-3.1306,0.00186725
ILVBL,-4.49293,9.11E-06
BCLAF1,3.87575,0.000123428
TLDC1,-4.03356,6.53E-05
MAP2K5,4.10063,4.95E-05
NDUFS8,-3.1142,0.00197166
KBTBD11,3.11759,0.00194966
GEN1,2.59897,0.00968191
YES1,-3.07403,0.00225063
RNF10,3.65454,0.000290524
MAP2K7,3.37291,0.000813287
HM13,-2.89031,0.00404964
HAND1,2.63075,0.00883514
KRTAP4-5,2.74902,0.00623714
PIK3C3,2.84981,0.0045915
ATG101,-3.60208,0.000353743
CELF6,2.75723,0.0060854
HSPB11,-3.81784,0.000155051
UBTD1,-4.34704,1.74E-05
UBE2O,2.75879,0.00605705
LOC100506271,-3.2712,0.00115992
SPRTN,2.72859,0.00662957
ZBTB5,2.68018,0.00764987
TEAD3,-3.74587,0.000205057
THYN1,3.06698,0.00230316
CBFB,4.31074,2.03E-05
TRIM13,3.36149,0.000846727
PATJ,-3.77425,0.000183751
MPZL2,-2.92417,0.00364205
DHRS2,-3.43802,0.000644913
TGFBR2,-3.61352,0.000338945
EIF1,2.78135,0.00565888
WAC,2.60155,0.0096107
RGS20,-4.29455,2.18E-05
IPO4,-2.63508,0.00872518
KIF23,-3.66446,0.00027983
MTMR6,2.66074,0.00809772
NAA16,3.14532,0.0017779
HMBOX1,4.58792,5.93E-06
CFAP47,2.96364,0.00321447
MRPL49,-3.23686,0.00130503
SYNPO,-3.16154,0.00168398
MGLL,-3.02648,0.00262755
MRPS18C,3.85757,0.000132633
VPS36,4.00543,7.33E-05
MORC4,-4.06593,5.72E-05
CHST2,2.65289,0.00828542
AFAP1,-2.69921,0.00723293
GAL3ST2,3.15257,0.00173531
PDLIM7,-3.96117,8.77E-05
CYTIP,3.54223,0.000441559
ZNF385C,2.83744,0.00476961
CYTH3,-4.90141,1.36E-06
WDR45B,-2.75094,0.0062013
ZNF275,2.66047,0.0081042
NPHS2,2.61134,0.00934401
PLOD1,-3.42854,0.000667216
FBXO25,2.81068,0.00517663
FBXO8,3.61707,0.000334469
TSTD2,2.70747,0.00705856
PBXIP1,2.77871,0.00570419
RAB33A,4.80619,2.15E-06
PLAUR,-4.05115,6.08E-05
PLOD3,-2.93694,0.00349838
RPS6KA4,-4.51769,8.15E-06
DSP,-3.86468,0.000128956
SEPHS1,3.05518,0.00239368
SLC26A2,-2.8992,0.00393882
HBEGF,-4.06022,5.86E-05
SHROOM1,-3.1071,0.00201857
F2RL1,-5.16775,3.68E-07
F3,-4.57641,6.25E-06
MDC1,3.59332,0.000365489
BTNL2,3.05267,0.0024133
EGFR,-5.47189,7.70E-08
MEGF6,-2.83172,0.00485414
RASL10B,2.7123,0.00695822
ANO5,4.30676,2.07E-05
SEMA3G,2.9794,0.00305699
MCCC1,2.79895,0.00536478
ATG9B,2.8846,0.00412235
NKX2-5,-2.60446,0.00953058
ZNF462,-3.54322,0.000439957
CTBP1,4.62537,5.00E-06
HSPA4,-3.7207,0.000225882
HSPA2,-2.65965,0.00812352
CTBP2,-3.12411,0.00190792
TM2D2,-4.26213,2.51E-05
ST6GALNAC2,-3.69736,0.000246957
GAS2L2,2.87037,0.00430868
GNRHR,3.45912,0.000597765
CNOT6L,5.42361,9.92E-08
PAPSS2,-4.66616,4.14E-06
GNG11,-3.73613,0.000212897
GNRH1,3.42587,0.000673636
TLR9,2.61427,0.00926555
GMPPB,-2.61902,0.00913973
EPN1,-3.01864,0.002695
NME7,-2.72187,0.00676342
ATP5G2,4.16104,3.85E-05
PYCR2,2.76212,0.00599658
TLCD2,-3.38743,0.000772518
COLGALT2,3.25607,0.00122189
PLXNB2,-3.10599,0.00202594
KLHL6,3.15212,0.00173791
TRIM29,-2.76264,0.00598723
KDM5C,2.76307,0.00597955
SLC6A8,-2.9598,0.00325393
ULK3,2.80176,0.00531918
TSKU,-3.35758,0.000858477
FAM71D,2.83738,0.00477047
RAB20,-3.31274,0.00100443
KRT17,-3.52173,0.000476075
HIRIP3,2.89109,0.00403983
CDC42BPA,-2.72898,0.00662182
CRB3,-2.74436,0.00632477
FRY,3.40733,0.000719745
TMEM198B,3.68061,0.000263212
MIR205HG,-3.11884,0.00194159
RGL2,-3.30225,0.00104177
RAB2A,-2.93349,0.00353667
SETD5,2.96203,0.00323098
SETDB2,3.42121,0.00068496
PLA2G16,-3.57208,0.000395488
ARHGAP5-AS1,-3.11835,0.00194476
LOC100507424,3.77313,0.000184555
SWI5,-3.29928,0.00105257
HNRNPU,2.68064,0.00763943
CDC42EP2,-3.37195,0.000816045
MRPS14,4.0632,5.78E-05
LAMTOR3,3.86972,0.000126411
HIPK1,2.78765,0.00555192
OR1A2,3.50275,0.000510268
FECH,3.14915,0.00175528
RBMS1,-2.94573,0.00340252
RBM4,2.64795,0.00840534
RBM3,3.6598,0.00028481
RBL2,3.23625,0.00130774
ZNF584,-2.91692,0.00372602
RBMS2,-5.23324,2.64E-07
CYR61,-6.59892,1.26E-10
UBE2R2,3.03018,0.00259628
ACTR10,-2.9358,0.00351101
ESR1,3.61825,0.000332991
MATR3,4.55136,7.00E-06
HIST1H3F,3.80203,0.000164937
SH3D19,-3.33541,0.00092797
GRIPAP1,2.89047,0.00404767
SPCS2,4.85149,1.73E-06
ANP32A,3.89246,0.000115506
IKZF5,3.0516,0.00242172
KIAA1522,-4.80365,2.18E-06
PTHLH,-3.12498,0.00190246
MGC16275,3.60558,0.000349148
PTK2,-4.68176,3.85E-06
POLR2L,-4.2443,2.70E-05
NACAP1,5.5237,5.85E-08
WDR1,-3.00827,0.00278657
UMOD,2.61734,0.00918402
HDAC4,3.51745,0.00048359
SERP1,3.63202,0.000316242
IER3IP1,2.777,0.00573367
TFAP2A,-5.33346,1.58E-07
DTX2,-3.2303,0.00133459
PLIN3,-4.7297,3.08E-06
GDF11,3.38158,0.000788715
DNAJB12,-3.41475,0.000700962
MELK,-2.69608,0.00730018
CHIAP2,2.71741,0.00685353
NSMCE4A,3.35812,0.000856854
MYO1G,3.79963,0.000166487
LUZP1,-4.26987,2.42E-05
CCDC125,3.00039,0.00285812
FLJ10038,5.15518,3.92E-07
ZYX,-2.66015,0.00811166
POU5F1P3,-2.98895,0.00296495
EFHD2,-3.36278,0.000842895
LRRN4,-2.71589,0.00688457
CDKN3,-3.49596,0.000523038
CDKN2B,-2.91391,0.00376143
DUSP28,2.72181,0.00676458
GRIK1-AS1,2.80541,0.00526052
SLC9A9,4.19434,3.35E-05
RAPGEF4,2.64101,0.00857658
MTFR1,-3.39791,0.000744301
IRF2BP2,3.91725,0.000104631
CNTRL,3.43832,0.000644238
EIF3H,2.65847,0.00815152
ZXDC,3.506,0.000504258
HMGN5,3.08059,0.00220271
DNAJB13,-2.99696,0.0028898
MAB21L1,3.0606,0.00235167
SMAD2,2.92372,0.00364729
SMAD3,-3.74616,0.000204833
SMAD4,4.07482,5.51E-05
FAM124A,2.63656,0.00868785
DERL2,-3.68809,0.000255832
COQ6,-3.48402,0.000546249
ADARB2-AS1,3.11565,0.00196225
HAUS5,3.36539,0.000835168
SLC44A3,-3.75626,0.000196999
U2SURP,2.97596,0.00309078
YEATS4,3.50858,0.000499522
LUC7L,3.53852,0.000447631
FRS3,3.18508,0.00155583
CPLX1,3.34906,0.000884597
CPLX2,4.29344,2.19E-05
SERTAD4,-2.8375,0.00476874
TMX4,2.69079,0.00741488
SHTN1,-3.8336,0.000145763
LYRM4,3.29562,0.001066
AMIGO3,2.71312,0.00694133
KIAA1586,3.83898,0.000142711
SNX24,-4.31892,1.96E-05
PIKFYVE,4.20489,3.20E-05
SECTM1,-4.14804,4.07E-05
TRAPPC2,3.90208,0.000111166
DOCK8,4.31109,2.03E-05
FXN,2.92965,0.00357973
KLHL3,3.14049,0.00180676
RNF34,3.11032,0.00199717
LOC100506548,3.47126,0.000572099
DYRK1A,3.87796,0.000122349
DNAJC22,-2.62966,0.00886314
DUT,4.49632,8.97E-06
DVL1,-3.09169,0.00212378
OGN,3.20901,0.00143483
BPIFA4P,3.08561,0.0021667
UTP23,3.54365,0.00043927
HRAS,-4.21759,3.03E-05
HRH1,-4.59821,5.66E-06
CRYGS,2.93205,0.00355276
KCTD20,4.18071,3.54E-05
BCL11A,3.08814,0.00214878
ZNF92,2.64606,0.00845149
TOMM20,4.36355,1.62E-05
ERCC6L2,3.55255,0.000425091
PTAR1,2.62863,0.00888971
TAF13,-3.13487,0.00184092
MAP3K7,2.63318,0.00877336
PAQR7,-3.06361,0.0023287
MAMDC2,-3.75387,0.000198827
CDC25C,-2.60571,0.00949657
TMEM223,-2.80018,0.00534481
CLPTM1,-4.20657,3.18E-05
BCL3,-3.5029,0.000509988
ADAMTS19,2.61796,0.0091676
C8orf58,-3.2067,0.00144612
RREB1,2.59211,0.00987383
ZNF384,2.66161,0.00807719
RRBP1,-3.99106,7.77E-05
PBRM1,4.49336,9.09E-06
EVA1B,-2.80826,0.00521503
BFSP2,3.60622,0.000348315
BCAR3,-5.87995,8.42E-09
OR10A5,2.93344,0.0035372
OARD1,3.78431,0.000176715
ZNF33A,3.23009,0.00133553
PRF1,2.94909,0.0033665
SRGN,3.07797,0.00222174
SEZ6L2,-2.58909,0.0099595
NUPR1,-2.80175,0.00531934
DCBLD2,-4.67723,3.93E-06
ST6GAL1,3.12374,0.0019103
MAX,2.93768,0.00349023
MATK,3.65772,0.000287056
MAT2A,2.71907,0.00681991
MATN2,-3.61753,0.00033389
KRT9,-3.41522,0.00069979
KRT7,-3.47479,0.00056483
SMU1,4.28645,2.26E-05
GUSBP11,3.17239,0.00162376
CNOT8,2.87597,0.00423444
C9orf78,3.61228,0.000340523
LIN9,2.73148,0.00657279
RARS,-3.68586,0.000258017
RARG,-3.12743,0.00188704
TM7SF3,2.83528,0.00480133
HDAC11,-5.33864,1.54E-07
PLBD1,-4.67847,3.91E-06
ZNF783,2.78634,0.005574
RNF169,3.3791,0.000795673
WDR48,3.7567,0.000196669
SOGA1,-3.96183,8.75E-05
UBASH3A,2.91834,0.00370951
ZMAT2,-2.93195,0.00355396
SUDS3,4.49276,9.12E-06
INF2,-3.19889,0.0014849
P2RY8,4.09624,5.05E-05
JAKMIP1,5.10784,4.97E-07
THEMIS,4.72503,3.15E-06
PARD6B,-3.18277,0.00156798
MTHFD2,3.44109,0.000637842
FRAT1,4.27486,2.37E-05
ZNF273,2.92344,0.00365044
AFTPH,2.88199,0.00415597
SPA17,-2.76316,0.00597788
RNF187,3.54266,0.000440865
CLSTN1,-3.21885,0.00138764
ABLIM3,-3.89681,0.000113522
BIN2,4.63448,4.79E-06
CNOT7,4.37667,1.53E-05
ACTL6B,3.10376,0.00204093
SNX8,-2.94218,0.00344088
TRAPPC1,-2.92391,0.00364514
PER4,2.83831,0.00475684
CEBPD,-2.65831,0.00815542
PLOD2,-3.36288,0.000842583
ACSS1,2.93961,0.00346896
PLSCR1,-3.99878,7.53E-05
PLS3,-3.96677,8.57E-05
MED12,2.58918,0.009957
ADRM1,-4.41742,1.27E-05
SLC35D2,-4.21912,3.01E-05
MID2,-3.22573,0.00135554
PIM2,3.70173,0.000242882
BEND7,-3.08332,0.00218308
MINK1,-2.59954,0.00966607
GANC,3.38095,0.000790464
PLA2G3,2.5934,0.00983759
FAM215A,3.21259,0.00141748
ACOT9,-3.68871,0.000255234
PATZ1,2.95049,0.00335152
MUCL1,3.20152,0.00147173
HNRNPF,2.60511,0.00951279
FBXL2,-3.25669,0.00121929
BACE2,-3.12543,0.00189961
ARIH1,2.71988,0.00680349
MTO1,2.82661,0.00493076
TBC1D10C,3.54031,0.000444702
TMEM184B,-3.99933,7.51E-05
HNRNPC,3.05798,0.0023719
TNS2,-3.12276,0.00191651
KRTAP4-6,3.66261,0.000281797
DCUN1D5,3.2533,0.00123355
11-Mar,2.77319,0.00580009
SERPINB6,-3.85342,0.000134822
SOX9,-4.02516,6.76E-05
SOX12,2.80284,0.00530175
SP1,4.01218,7.13E-05
HCST,3.20992,0.00143041
NMU,-2.74399,0.00633168
MCPH1,5.20972,2.98E-07
OAZ1,2.98686,0.00298486
GADD45B,-2.82196,0.00500142
ARL5A,3.6265,0.00032286
LOC100506526,3.56818,0.000401233
LINC00472,-4.14798,4.07E-05
E2F2,4.28645,2.26E-05
E2F3,4.37737,1.52E-05
OAS3,-3.40391,0.00072859
OAT,-3.02374,0.00265096
MIR31HG,-3.00344,0.00283022
DHDDS,-2.94809,0.00337713
ETFDH,2.6537,0.00826583
TRMT13,2.87161,0.00429215
RNF2,2.74761,0.00626345
PCM1,5.14714,4.08E-07
PHC2,-2.86286,0.00441006
EEF1A1,3.81124,0.000159108
HES1,-4.24971,2.64E-05
NCOA2,3.76818,0.00018813
ENOX2,2.79802,0.00537999
CRTAP,-2.60401,0.00954285
VTI1B,-3.78705,0.000174846
RSBN1,3.53942,0.000446151
ANKRD9,-3.75725,0.000196251
GATA6,-3.21345,0.00141335
SNAPC1,-4.06871,5.65E-05
EPC1,3.45213,0.000613013
ZKSCAN3,3.61539,0.000336584
KLHL15,3.2198,0.00138315
TET1,3.83241,0.000146445
CXXC4,3.71595,0.000230035
IFT52,-3.00874,0.00278237
SUSD3,3.05735,0.00237679
SYT4,4.02041,6.90E-05
UFD1L,-3.23628,0.00130761
LSM2,3.07139,0.00227018
ZBED4,4.34623,1.74E-05
ZNF749,3.66125,0.00028325
CNR2,3.03272,0.00257495
CNN3,-4.88525,1.48E-06
BCL9L,-5.71952,2.04E-08
ANKRD10,2.73325,0.0065382
SOCS7,2.59651,0.00975039
TRIO,-3.36167,0.000846198
DLG5,-3.70363,0.000241127
CNIH4,-4.29619,2.16E-05
PTRF,-5.36377,1.35E-07
ZNF586,2.58924,0.00995522
C15orf61,3.4408,0.000638521
RPL4,4.45573,1.08E-05
WDR43,2.7905,0.00550423
GGA3,2.59978,0.00965957
10-Sep,-4.38318,1.48E-05
WDR34,-2.70433,0.00712434
ZNF740,2.78476,0.00560075
RPL3,4.26173,2.51E-05
KCNAB2,4.88943,1.45E-06
MAOA,-3.29245,0.00107778
MAN2A2,3.99045,7.79E-05
MAN1A1,4.36053,1.64E-05
MANBA,2.78164,0.00565386
SIRPG,3.21683,0.0013972
PSMA7,-3.8175,0.000155262
MDM4,5.39024,1.18E-07
MARS2,4.02098,6.88E-05
MTCH1,-3.7269,0.000220575
BCL2L13,-3.37759,0.000799928
TRAPPC3,-2.94548,0.00340513
CCDC117,3.18516,0.0015554
LUC7L3,4.23729,2.79E-05
SND1-IT1,3.00241,0.00283966
CLUL1,-2.62613,0.00895395
LDAH,4.16068,3.86E-05
CDC42SE2,3.34033,0.000912115
TOMM22,3.59507,0.000363104
SLC12A9,-3.25732,0.00121664
RAB3GAP2,4.59181,5.83E-06
RASGRP3,3.27844,0.00113131
GALK2,3.62789,0.000321182
GALE,-5.12573,4.54E-07
GAK,2.68309,0.0075848
GALNS,-2.87881,0.0041972
RFX7,5.15204,3.98E-07
APOPT1,-4.36362,1.61E-05
ABCE1,3.9475,9.27E-05
C2orf68,2.85453,0.00452501
GBP3,-2.94859,0.00337176
ZBTB33,4.08163,5.36E-05
GBP1,-2.65937,0.00813031
AKT1S1,-4.32978,1.87E-05
PAPOLG,4.34584,1.75E-05
SUMO4,2.64003,0.00860082
QRICH1,2.81391,0.00512588
DPP8,3.3106,0.00101195
SLA2,2.67888,0.00767916
TBC1D9B,-3.1299,0.00187156
DENND4A,4.30325,2.10E-05
CDK2AP2,-3.16351,0.00167287
ZNF479,3.15688,0.00171044
SH2D2A,2.90568,0.00385978
DOK2,3.52424,0.00047172
C7orf50,-3.1596,0.00169492
PPDPF,-4.21275,3.09E-05
GIMAP6,3.41637,0.000696915
MBOAT7,-4.71349,3.32E-06
CFL2,-3.9265,0.000100829
UBE2G2,3.84352,0.000140183
MOBP,2.81064,0.00517738
MN1,-4.40771,1.33E-05
CXorf21,4.1988,3.28E-05
ZADH2,5.43418,9.38E-08
MAL2,-4.04781,6.16E-05
